chest size,height,waist,head,foot length,weight
84.5,174.5,75,56.9,25.3,53.1
82.5,168.5,67.1,56.2,25.2,49.5
123.3,169.2,114.7,61.6,25.5,102.4
98.2,167.2,82.9,56.3,26.1,76.8
88.8,171.7,80.7,56.5,25.6,62.7
98.9,175.3,89.4,62,28,85
98.6,173.6,98.5,58.5,27.3,79
81.4,169.5,72.1,56.7,24.8,57.7
97.4,182.4,82.1,56.5,28.3,76.8
100.4,174.4,94.2,58.9,28.4,83.3
96.6,176.5,88.3,58.5,26.8,72.9
87,179.7,74.9,55.6,28.4,66.2
99.1,175.8,87.7,58.2,26.4,67.4
85.1,181.5,78.1,60,26.4,70.9
102.1,175.7,95.5,57.5,26.2,72.2
87.6,174.3,88,59.4,24.1,75.7
100.9,177.8,97.5,59.9,26.5,85.1
89.9,184.1,116.5,56.6,28.3,65.1
92.3,174.5,83.3,58,26.6,61.9
94.3,179.7,110.8,57,28.7,68.5
90.7,169.8,79.1,57.4,26.6,62.9
89.8,179.4,76.5,52.4,27.9,60.5
84,175,73.1,55,25.9,55
89.4,171,87,58.7,27.1,64.9
92.3,171,82.9,56.6,26.1,63.9
95.9,182.9,85.8,58.4,29.2,80.4
87.8,163.1,85.9,55.6,24.2,62.5
86.3,168,112.4,56,26.6,57.9
92.5,174.2,77.9,58.4,26.5,64.1
99,175.7,101.3,57,27.2,84.4
113.8,175,116.3,60.5,28,103.5
96.3,176,81.4,56.1,27.8,78.9
100.4,181.8,91.4,56.2,27.8,77.3
95.6,172.5,85.8,55.6,26.8,67.6
88.1,178.1,77.8,58.8,25.3,59.8
87.6,183,81.8,59.4,27.7,71.8
99.9,178.7,77.9,58,24.8,60.6
99.5,181.6,87.9,55.5,27.5,74.4
89.7,180.2,84.1,59.3,27.2,66.9
93.5,175,78.2,57.4,25.8,75
92.6,166.3,76.7,56,25.4,60.6
90,178.4,74.9,54.8,26.4,62.6
94,170.4,84.6,57.9,25.5,65.7
86,176.7,69.4,57.3,26.3,62.5
81.8,163.6,66.4,56.3,24,43.3
93.5,182.4,75.4,57.1,27.4,68.2
97.5,172.3,79.5,55.3,26.8,61.8
90.3,168.4,79.5,56.4,28.7,57.6
91.3,170.5,82.5,56.4,27.2,61
89.6,170.3,105.1,53.3,25,60
95.1,167.2,85.2,57.2,24.9,68.7
83.6,167.3,63.9,54.4,24.8,46.8
109.5,172.3,97.8,60.8,23.6,77.7
95,168.2,87.1,57.3,26.1,71.3
106.8,174.1,100.2,59.9,26.2,89.1
99.5,175.7,87.3,56.3,27.7,81.8
111.7,176,103.8,59.5,27.6,96.6
112.1,186.1,106.4,59,27.2,101.7
98.7,170.6,89,56.8,26.3,69.8
81.5,171.9,75.7,55.8,26.5,60.1
94.9,183.2,76.6,57,28.5,60.2
86.1,176.2,68.7,55.6,26.6,58.6
88.6,180.6,81.2,57.2,29.3,61.3
89.2,173.6,73,57.6,28,64.9
81.5,167.1,77.9,53,25.7,53
108.5,167.1,95.8,59.4,27.3,93.5
89.9,177.6,73.3,57.5,31.8,56.7
94.3,178.6,82.7,55.5,26.9,73.8
89.8,175.4,79.2,57.2,26.7,66.2
85.4,176.8,74.9,59.8,28.5,60.9
97.4,168.3,84.9,61.7,25.4,65.8
98,178.2,86.5,56.4,25.8,70.6
103.7,183.7,104.4,59.3,30.1,94.7
97,169.1,92.6,55.4,26.3,77.8
96.9,168.3,78.7,55.7,25.7,63.3
93.7,179,85.1,60.2,26.5,79.7
100.9,171.1,91.9,55.1,27.3,69.7
96.9,176.6,92.6,56.4,26.6,80.2
83.3,164.9,73.4,57.8,25,46.6
93.4,174.9,98.4,56,26.8,86.4
112.9,180.1,105.1,58.3,27.6,98.5
83.6,174.7,75.5,56,26.9,57.3
87.9,180.4,75.5,56.8,27.7,61.2
81.2,174.6,80.1,56,26.4,67
98.5,160.6,98.5,56.2,24.1,69.8
100.9,178.1,79.2,55.6,28.5,72.1
79.8,165,70,57,24.2,49.3
84.9,171.7,75.3,55.9,26.5,60.8
100.4,166.6,97.1,56,26.4,76.6
83,178,71.3,54.6,26.2,58.1
122,180.3,122.1,60.8,27.8,113.4
87.5,173.4,72.9,55.9,27.4,64.6
100.2,179.3,90.8,55,27.9,73.5
89.6,179.6,77.1,56.5,27.8,64.7
88.1,172.7,77.4,55.1,25.1,54.9
90.5,165,78.8,54.8,24.7,63.4
91.8,168,81.2,57.6,24.2,65.9
93.8,175.1,85,56,27.5,71.9
95,176.2,77.3,57.6,26.4,67.3
98.3,182.3,92.2,59.4,26.9,78.4
82.6,164.1,75.8,58.5,26,51.8
95.6,173.5,83,57,26.9,71.7
89.2,166.1,78,55.8,24.5,62.4
94.4,183.5,87.7,58.2,28,76.7
112.9,177.8,113.2,56.8,26.4,99.9
91.1,178.8,83.3,57.2,25.4,66.6
95.7,184,87.9,56.7,27.1,73.9
92.5,173.5,79.1,56.4,27.3,69.2
95.8,180.5,85.9,57.7,26.7,74.2
92.5,177.2,82.7,56.7,26.4,70.3
97.4,168.3,84.9,61.7,25.4,81.8
86.6,175.4,69.5,55.2,27.2,57.1
92,169.6,87.4,56.9,26.5,65.2
87.9,168.2,84,57.8,27,68.6
84.1,173.9,72.4,58.7,25.6,51
90,171.1,80.9,55.4,25.9,63.5
103.1,167.2,103,58.3,25,74.4
86.6,170,78,54.3,26.8,60.8
82.1,165.9,77.2,55.6,23.6,52.5
90.8,167.1,79.1,56.8,26.5,62.5
100,173.6,99.7,57.4,26.4,77.6
82.1,173.2,75.1,56.1,25.3,63.1
97.1,166.1,89.7,54.1,25.4,67.3
91.6,168.7,80.8,55.1,25,65.1
101.3,177.8,88.2,62.1,27.2,76.5
94.8,171.8,92.8,55.6,24.9,74.9
92.5,166.4,82.2,53.9,25,59.1
88.1,171.7,78.7,58.3,27.7,66.8
99.1,166.6,96.5,57.9,25.3,74.8
90.3,174,79.7,56.1,26.6,66.3
89.4,171.9,79.2,59.2,23.7,56.3
93.4,173.5,74.3,57.4,27.8,64.2
103.1,173.6,91.6,55.7,26,76.8
88,175,78.7,55.1,27.1,59.8
109.9,182.8,99.7,60.6,26.5,89.7
101.2,169.6,92,56.5,26.2,73.9
106.9,173.7,102.8,57.4,26.2,86.2
92.5,177.7,80.2,55.1,27.7,69.5
92.9,171.4,83,55.6,26.4,63.1
92.9,179.9,81.7,57.1,26.5,68.7
114.5,175,112.5,59,26,98.5
86,172.1,75.3,56.8,26.5,60.6
84.4,173.9,75.9,57.2,26.2,57.4
87.6,166.3,73.1,55.2,24.3,57.4
97.1,169.7,93,58.2,27,73.1
101.5,173.6,86.3,58.8,28.3,76.6
100.1,173,87.7,60.1,26.2,72
90.8,171,76.7,56.8,27.4,60.1
108.8,171.5,93.8,57.1,26.1,80.5
86.6,180.1,80.4,56.2,27.3,68.8
89.7,167.1,71.6,56,26,54.6
95.6,173.3,86.2,54.9,25.4,67.8
87.3,160.9,74.7,59.8,25,57.1
95.7,173.3,82.5,53.8,25.8,71.6
127.6,170.4,101.8,59.6,26.1,81.1
93.7,175.6,82,58.7,27.5,70.6
99.8,175.3,90.4,62.4,26.3,73.2
98.4,179.9,89.5,60.6,27.2,79.7
102.9,174.7,95.2,58.3,26,74.5
92.4,181,83.7,58.5,29.3,73
89.1,168.2,79.4,55.6,25,59.9
98.3,173.9,100.7,56,25.4,88.8
85.3,165.1,82.2,54.5,25.2,61.3
105.4,167.2,97.5,55.4,25.9,81.7
95.2,181.4,82,57.1,27.6,67.5
92.4,171.3,76.5,54.1,25.7,63
104,165,106,56.9,25.3,81.3
93,179.7,81.6,58.6,29,69.5
91.1,172.3,80.9,55.2,26.9,59.7
89.3,173.3,81.4,57.8,25.3,68.2
116.6,171.8,106.4,57.8,25.4,95.2
100.5,169.5,94.8,56.4,26.3,69.8
98.2,172.5,83.6,56.8,26.2,66.1
105,174.7,102,53.1,27,93.9
101.9,175.7,95.8,58.1,26.6,84.3
98.1,174.2,94,59.5,28,82.8
90.6,172.5,76.9,57.9,25.2,56.3
94.1,176.2,88.1,56.3,27.7,75.9
99.3,179,92.5,57.6,34.2,75.5
85.3,180.4,106.1,57.3,26.4,61.2
108.1,180.7,100.8,59.1,28.8,86.7
95.8,166.9,95.9,56,26.2,75.4
95.4,170.9,78.2,58.1,25.2,64.2
88.6,171.5,69,57.2,26.8,59.7
91.9,172.8,83.1,55.3,27.4,59.9
86.7,171.9,76.2,57.8,27.7,58.8
91.2,166.5,79,57,26,60.5
88.6,170.4,109.2,56.8,26,58.6
93.2,171.1,67.4,59.4,25.8,56.5
88.5,166.5,73.9,56.8,27.1,56.1
104.9,179.1,83.8,57.4,27.7,76.3
89.4,182.1,72.1,57.2,27.1,64.8
94.8,172.8,86.3,56.2,25.8,70.2
104.8,175.4,87.9,58.5,28.2,83.7
82.4,169.4,76.7,56,24.6,54.7
86.1,169,80.3,56.7,25.7,63.4
92.7,176.5,84.5,59.4,27.2,69.2
91.3,180,83.3,60.1,28.6,68.1
110.8,178.1,103.7,59.8,27.8,92.2
87.7,171.3,76.3,57.7,26.8,62.3
99.3,175.4,93.6,56.7,25.6,74.2
97.6,175.4,81.4,58.8,27.8,70.8
95.8,171.9,84.4,56.7,25.8,67.4
92.9,170.5,87.2,54.9,27.3,71.4
91.4,184.7,88.4,57.9,26.7,61
115.5,181.1,99.9,60.2,28.4,102.1
94.1,170.2,81.6,57.8,25.3,64.1
102.8,183.3,98.7,59.3,29.4,87.7
88.3,173.5,83.5,57.1,26.5,63.3
116,173.8,109.6,58.9,26.4,102.8
94.3,168.5,86.3,55.7,25.6,60.7
84,182.5,78.7,58.3,28.2,65.9
103.1,187,83.2,59.9,27.2,70.6
101.7,180.5,93.5,57.8,27.5,84.6
103,177.2,89.4,58.7,27.4,78.4
101.1,179.8,97.5,57.8,27.2,87.6
116.6,173.5,107.2,58.5,28.5,100.2
110.3,181.2,104.4,60.1,29,95.2
92.4,169.7,72.7,58.2,26.6,58.1
104.9,176.3,95.4,56.9,25.9,80.2
100.1,166.8,94,60.1,26,69.4
89.3,176.1,120.5,60.4,28.4,76.5
95,170.2,80.4,57.4,24.3,62
117.3,183.2,114.5,59.3,28.6,111.2
89.1,179.9,78.3,54,26.5,60.6
98.3,175.4,97,58.2,27.1,87.1
89.6,169.9,74,58.9,24.8,56.4
86,183.9,88.3,56.7,27.4,61.5
100.1,173.5,89,57.1,27,76.8
97.1,175,87.3,56.4,27.4,77.8
86.5,173.9,70.5,55.3,26.3,57.7
97.8,175.5,90,58.1,26,86.4
97.9,174.3,86.9,60.7,26.3,68.9
89.7,190.6,80.2,58.1,29,69.2
104.3,168.9,101.4,58.2,24.6,74.3
95.5,189,78.5,59.1,28,68.4
96.1,171.5,80.5,57.5,25.7,62.6
92.3,181.4,88.5,59,27.9,83.9
86.6,169.5,72,55.9,26,57.4
100.2,180.8,90.4,57.5,25,89.2
86.6,177.2,74.9,56.8,26.6,54.9
93,180.5,79.3,60.7,28.6,70.6
86.2,169.1,77.3,60.1,27.3,55.9
99.2,171.9,84.9,59.4,27.6,71.6
84.1,170.3,66.9,56.5,25.1,49.2
91.6,164.1,80.3,57.1,25.6,66.2
86.2,178.9,83.9,55.6,26.7,57.1
104.1,183.6,91.8,60.6,28,86.6
99.2,170.1,87.5,57.2,26.4,66.9
79.6,165.5,65.3,54.8,24.8,49
93.2,177.1,82.7,54.6,27.3,62.1
99.5,170.2,92.6,56.8,26.3,73.9
91.4,175.3,82.4,62.1,26.9,64.5
81.5,174.9,71.5,53.5,26.3,56.6
87.2,183.7,76.7,56.1,26.5,60.8
102.1,167.1,98.5,58.1,26.7,77.9
102.1,172.4,98.6,61.6,26.8,83.2
105.2,179.3,93.2,60.3,27.9,85.5
93.3,175.2,80.8,57.7,27.4,68.9
79.9,171.2,106.4,54.8,25.3,48.5
103.7,180.1,92.3,61.2,29.6,79.8
93.8,177.6,85.1,55.2,27.6,75.3
91.2,173.6,74.5,56.2,26.6,56.7
106.4,174.9,95.6,57.9,26.2,82.8
89.6,172.8,81.6,57.5,26.4,63.7
87.8,176.5,72.3,57,26.6,62.3
89.9,164.4,83.6,54.7,23.7,55
98,170.1,91.6,59.1,25.6,79.7
94.6,187.6,88.4,56.2,27.4,77.6
90.6,178.4,74.4,56.4,30.3,63
97.5,173.8,90.5,60.4,26.3,67.8
100,179.1,93.5,58.6,26.2,78.3
90.5,173,79.4,57.6,25.7,66.4
85.2,170.7,72.4,55.2,25.4,58.9
93.8,179.9,79.3,57,27.3,65.9
116.6,172.7,111,58.1,28.3,111.7
85.6,168.9,70.6,56.1,26,52.8
104.1,179.9,91.5,58.9,27.6,86.1
100.9,170.6,95.1,58.1,27,78.2
91.2,177.8,84,55.2,25.6,75.4
92.5,173.9,79.2,57,25,60
88.4,180.1,72.6,56.2,26.9,58.8
89.7,173.8,83.3,54.7,25.5,66.5
83.8,174,72.7,56.9,30.3,56.3
91.5,165.5,85.2,56.4,24.4,59.3
92.1,164.3,85.9,56.5,24.8,69.4
100.5,171.3,89.3,56.6,26.4,74
106.7,182.1,89.4,59.1,28.5,80
84.9,171.3,78.9,56.5,24.3,56.9
103.4,180.2,100.8,55.4,28,88.6
102.2,174.4,94.1,57.4,27.1,81.2
83.4,172.4,76,58.6,25.8,59.5
103.6,173,98.5,55.5,26.2,64
107.5,172.7,97.8,55.9,28,87.7
102.6,182,95.8,57.3,28.6,87.1
91.1,179.5,73.6,58.3,27.4,67.2
90.1,179,78,57.7,26.2,63
108,195.1,101.3,62,31.5,104.6
94,169.7,82.1,58,25.9,61
111.4,179.2,100.2,58.3,26.9,107
100.1,176.6,103.7,57.3,25.6,80.8
83.4,176.7,70.8,57.1,26.8,57.3
90.8,178.1,81.1,56.2,27.1,62.8
100.3,181.1,95,59,28.9,90.4
100.8,180.5,89.3,59.2,27.8,78
89.5,173.5,67.2,56,25.5,56.6
87.4,174.8,75,56.7,26,60.3
97.5,172.9,86.4,56.5,25.3,72.8
92.4,175.4,76.7,59,25.2,59.7
116,178.1,117.5,58,28.2,110.4
93.6,174.1,83.5,57.3,26.8,66.7
95.5,180.2,87.2,58.8,28.8,79.7
84.5,169,72.1,56.8,25.6,52.1
90.4,166.2,91.7,56.5,25.9,68.6
97.3,167.8,85.5,56.9,24.9,65
89.5,165,87.3,54.2,26.3,65.3
92.8,162.3,83.7,60,25.5,59.3
104.6,169.3,96.9,57.3,30.8,79.4
94.5,185.6,89.9,57,28.7,68.8
88.5,170.7,76.8,56.6,25,58.5
107.9,182.4,100.7,58.9,27.5,91.6
118.4,181.5,114.2,58.1,27.9,104.2
93.1,175.9,80.6,56.7,26.2,64
119.6,176.6,79.6,57.5,29,70.6
88.5,179,82.9,55.8,25.3,50.7
80.3,173.2,79.1,53.1,25.4,65.5
86.4,169.9,77.1,55.9,26.5,53.7
85.2,164.5,74.3,56.5,25.1,58.8
118.6,177.4,117.7,59.2,27.7,104.7
89.1,171.4,87.5,53.5,26.5,72.6
83.4,180.2,86.4,56,26.6,56.1
96.8,170.9,99.4,56.4,27.1,71
91.2,174.4,88.7,60,28.4,61.2
121.1,180.5,110.2,62.8,26.1,112.3
107,173.7,95.8,59.4,25.8,80.3
77.9,165,65.1,54.3,24.7,51.8
84.7,170.7,79.2,56.5,26.1,56.9
105.9,175.4,97.2,60.2,27.7,88.9
91.2,173.6,87.5,56.9,27.9,64.4
84.6,166.6,71.5,56.1,25.8,53.8
94.9,179.9,88.4,57.1,28.5,75.1
97.2,173.5,116,55.7,27,66.9
96.7,182.2,81.7,56.5,25.5,69.8
79.4,171.4,65.7,55.1,25,53.7
117.4,176.5,113,62.8,28.2,106.8
91.3,181.6,82,57.1,28.1,66.4
102.2,182.1,94.7,59.4,27.7,85.4
98,169.8,92.2,56.2,25.4,76.2
86.2,165,70.6,57.8,25.2,47.6
105.1,183,94.7,60.7,26.6,97.4
104.3,181,87.6,58.8,27.2,79.3
85.2,166,67.7,53.2,24.9,48
106.2,173.2,90.5,63.9,25.4,77.5
99.7,179.8,82.9,58.6,26.8,79.1
120.6,175.1,111,60.3,25.3,92.1
99.7,172.3,84.2,57.8,27.7,73.4
99,172.5,88.9,59.4,26.9,68.8
86.7,170.6,72.3,55.1,26.5,56
93.9,166.8,79.3,61.7,25.2,59.5
100.9,178.6,94.6,58.4,26.8,86.7
98.4,169.4,88.5,56.6,27.3,64.3
88.7,175.1,70.3,57.3,26.8,58.5
96.7,177.2,86.4,57.8,27.4,71.1
83.8,169.4,72.7,57.5,25.6,57.5
88.9,167.1,84.7,57.4,25.8,63.2
90.9,177,83.8,58.9,27.4,62.4
87.5,164,78.7,57.8,25.6,53.7
110,173.7,104.9,57,25.7,94.1
107.9,177.7,100.7,59.6,27.4,85.7
81.2,177.9,66.9,54.7,26.1,54.3
91.7,175.1,90.7,57.3,27.9,77
84.9,182.5,77.8,58.1,26.9,60.9
84.5,164.9,79.6,56.5,25.7,57.4
87.4,175.1,74.7,57.8,27.4,60.4
85.9,170.9,83.9,56.1,26.5,57
83.6,176.6,70.5,54.6,27.7,59.4
91.4,180.4,79.6,60.8,27.4,78.9
92.3,171.8,73.6,55.3,28,60.1
91.4,180.4,79.6,60.8,27.4,67.6
86.6,175.1,68.5,52.2,25.6,59.6
109.6,171,100.9,58.3,26.1,79.1
81.4,172.4,75.4,56.8,26.4,58.8
103.8,171.4,95.6,55.6,25.9,79.4
81.5,164.1,71.3,61.8,25.7,58.2
94.4,167.5,80.5,56.5,26.8,58.2
76.4,169.4,72.2,56.2,28.7,48.6
84.9,166.2,69.8,57.6,24.9,45.1
110.7,171.7,102.2,56.3,27.2,91
98.9,184.2,88.3,60.1,27.3,76.9
78.6,173.9,68,57.1,26,54
92.5,173.6,78,57.2,26,59.2
109.3,170.8,100.4,58.5,26.3,87.4
84.8,175.4,73.7,55.6,25.8,56
122.1,188.7,121.5,58.8,27.9,129.9
92.4,174.7,86.4,58.5,26.5,67.5
106.2,180.6,102.4,56.3,28.9,82.9
92.4,173.4,72.2,56,25.8,59.9
96.5,184.3,90.8,59.6,27.5,84.9
93.2,187.5,92.3,57.5,27.5,63
100.3,177.2,87,57.8,26.6,86.4
87.5,175.6,80.8,56.1,26.7,60.6
113.7,173.6,116.3,60.4,27.2,107.5
81.3,169.5,64,57.6,26.4,46.4
88,183.5,78.4,57.5,28.5,63.1
83.9,177.1,68.3,55.6,27.7,49.6
90.7,172.2,73.7,57.2,27.5,62.5
87.6,167.5,73.5,56.2,24.1,50.1
85.9,175.1,79.9,54.3,27.3,64.3
92.3,176.4,82.9,55.6,27.7,69.5
91.4,172.5,85.1,57.9,25.9,66.4
90.6,176.4,71.2,55.3,25.8,59
102.1,176.2,86.3,55.5,25.5,77.2
95.6,172,87.3,57.4,26.8,70.3
98,171.1,86.7,55.5,26.1,67.3
118.5,172.9,115.1,56.3,28.1,102.2
111.6,170.2,105.2,57.1,25.6,95
88.5,170.5,81.2,56.2,25.2,62.1
99.3,173.7,87.4,58,27.7,73.7
100.9,184.1,81.9,62.7,27.6,67.4
95.9,179.2,84.4,56.5,28,68.9
106.2,173.2,90.5,63.9,25.4,50.6
88,175.7,83.7,56.4,26.6,70.1
102.6,174,97.7,54.7,27.4,82.6
104,177,103.1,59.1,25.7,99.3
97.4,168.3,84.9,61.7,25.4,57.3
98.4,165.6,93,57.2,26.3,68.9
103.7,171.8,87.6,56.4,24.1,73
115.1,173.9,111.3,59.7,28.3,99.4
106.1,174.5,99.5,58.9,27.2,88
87.2,172.8,73.8,58.1,25.5,62.6
112.9,171.6,101.8,59.3,26.8,84.1
86.7,166.5,69.8,57.2,23.9,55.4
91.9,165.3,64.7,56.2,23.9,61
95.8,170.1,82.3,59.6,28.1,72.2
95.4,169.8,70.8,57,24.8,64.2
83.7,171.2,67,54.3,26.4,52.8
93.6,167.7,93.1,55.7,25.2,64.7
96,175.4,87.1,58,25.7,73.9
94,174.5,80.6,55.4,26.9,68.5
103.2,187.3,92.9,61.1,27.2,84.2
100.9,177.1,96.1,55.7,27.1,81.7
112.2,171.3,111.8,60.3,31.1,94
84.1,171.2,71.2,59,26.4,57
96,183.9,82.6,58.5,28.2,69.8
84.8,179.5,84.6,55.9,27,59.3
84.9,167.9,74.4,53.2,26.3,57.9
97.5,170.9,89.8,55.4,26,75.1
114.8,175.8,104.5,59,26.9,104.2
98.5,172.1,90.2,56.4,26.8,73.5
101.6,169.3,95.5,59.9,25.7,80.3
88.2,165.3,77.7,56.7,26.4,63
105.8,172.5,101.7,58.8,26.6,82
95.8,172.9,80.4,57.7,25.9,67.4
101.9,171.1,100.9,58.2,24.1,84.3
96.4,175.8,84.4,55.8,26.2,72
83.2,168.7,81,58.3,25.3,65.3
105.6,179.5,96.5,57.3,27.5,90.4
86.6,163.5,73.1,58.7,24.9,47.8
99.8,177.4,94.7,57.7,28.4,78.1
114.3,174.4,114.2,62.3,28.4,101.9
99.5,173.6,88.3,58.4,27.6,71.5
95.8,164.9,94,60.2,24.7,75
88.2,167.2,80,57,23.2,56.8
92.8,179.5,104.3,59,27.5,71.8
101,167.2,87.7,60.4,23.8,67.3
98.1,176.4,90.5,56,28.3,73.8
93.5,177,81.2,55,27.4,66.2
103.8,172.8,94.4,58.6,26.3,84.3
112.6,179.7,95.9,58.7,26.9,87.6
107.8,175.4,100.8,56.4,28.5,88.9
113.8,176.4,108.7,60.2,28,95.3
80.5,169.8,68.9,56.3,25.7,51.6
106.6,179.8,98.1,60.9,26.9,91.7
86.3,170.1,75,56.1,26.6,55.1
91,168.7,81.9,58.7,24.9,62.8
114.6,178.9,109.2,58.3,27.4,99.1
101.3,178.5,93,57.6,26.1,84.6
92.1,177.3,83.6,59,26.9,64.3
98.8,171.3,82.1,60.6,25.8,62
84.5,173.5,74.3,56.9,27.4,61.5
107.4,191.3,103.1,58,30.9,100.5
101.5,175.6,100.1,55.8,27.1,87
87.2,175.5,76.9,57.8,27,57.9
99,179.5,94.3,58.2,27.1,78.5
99.6,173.1,79.8,55.8,28.5,70.7
112.8,170.7,108.2,55.9,27,101.6
102.7,167.1,86.5,57.2,26.7,69
109.9,189,99.5,59.6,29.6,101.4
85.8,185.4,71.5,54.3,27,63.7
126.5,179.7,111.3,59.4,28.2,116.4
92.3,177.9,83.1,56.1,26.4,70.1
110.1,178.7,110.6,57.5,27.6,97
95.4,175.5,85.1,58,28.5,74.4
90.6,175.9,79.4,57.2,26.2,67.3
94.9,168.6,80.2,58.4,24.7,70.9
82.8,170.3,66.9,56.8,24.9,51.3
92.3,165.8,79.1,56.7,25.9,59.7
110.7,176.4,116.9,60.9,27.9,111.4
99.2,170.6,84.6,59.4,25.5,70.4
98.2,186.1,103.6,58.1,27.9,74.8
94.5,174.3,75.7,55.7,26.3,62.4
100.1,177.9,95.7,58.9,26.4,79.7
97.7,173.2,82.5,58.6,27.6,68.9
95.5,173.7,91.4,57.7,27,73.6
95,164.7,84.7,59.6,25.2,69.8
81.3,166.1,69.6,58.2,26.6,51.8
94.9,176.5,80.2,56.5,27,68.8
91.1,180.3,81.5,56.9,28.2,67.8
100.2,170.4,89.1,55.7,26.1,70.6
108,174.4,104,62,26.2,97.4
98.3,178.7,85.9,56.3,27.4,76
103.2,178.6,96.1,59.4,27,85.3
83.3,161.7,155.7,56.6,20.6,66.2
100.9,177.7,88.1,59.3,26.6,77
112.4,160.7,106.6,59.2,24.1,85.5
87.4,171.7,78.1,56,25.8,59.2
101.8,183,87.6,58.3,27.6,76.1
98.7,177,86.8,54.3,27.8,76
98.8,175.1,84.1,55.2,26.5,69.8
90.7,175.5,78.8,58.4,28,69.9
96.2,175,86.8,55.1,25.9,71.4
87.5,173.2,74.8,57,25.9,56.9
97.9,168.4,75.9,55.8,24.9,59.7
94.5,169.6,81.8,57.7,25.1,66
106.7,173.3,98.2,55.8,32.3,83.1
91.8,164.1,82.2,56,24.2,58.7
103.3,176.6,81.1,57.7,27.3,73.5
87.3,179.3,79.2,56.3,26.1,65
87.9,174.5,41.3,54,23.8,60.4
108.1,174.7,105.1,59.1,27,97.3
88.6,173.5,73.4,54.5,27.2,53.2
94.3,178.9,91.2,60.2,26.9,80.8
103.7,175.5,86,54.9,24.8,74.9
83.6,169.9,76,56.5,26.5,60.1
97.6,169.2,85.2,54.5,25.8,68.9
108.2,163.8,115.6,58.5,25.7,90.5
105.1,177.5,86.8,57.4,27.8,72.1
90.1,172.5,87.5,57.1,27.1,72.3
102.5,177.1,96.8,56.1,27.6,86.5
85.4,178.4,74.8,60,26.9,63.5
105.4,178.2,92.9,55.9,26.3,82.8
87.7,171.9,75.4,54.3,31.7,62.5
112,172.9,102.5,59.4,27.3,85.1
97.5,181.8,88,58.1,28.2,82.5
107.4,178.8,86.4,57.8,27.1,84.5
109.4,167.7,104.4,57.4,27.6,91
109.8,176.5,97.2,58.1,25.8,83.5
89.5,176.6,84.6,57.9,26.4,73.1
96.9,174,87,56.9,26,75.6
91.5,177.3,67,56.1,26.3,59.2
100.3,178.9,84.4,58.9,27.5,69.8
99.8,175.1,84.8,55.7,26.1,73.3
106.1,176.6,91.4,57.1,26.6,84.2
83.3,168,93.9,56.1,25.2,53.1
97.3,177.1,79.5,54.9,27.2,72
88.4,169.2,78.1,55.6,24.6,56.2
90.3,174.9,87,54,26.9,59.9
106.9,187.1,105.9,61.1,29.5,97.4
104.8,176.4,95.3,58.2,26.9,81.5
89.6,173.4,84.3,55.9,27.1,67.8
96.1,175.4,83.3,57.6,26.2,64
93.1,167,85.6,55.3,25.4,68
100.6,168.3,86.8,54.4,25.1,71.8
84.8,164.4,71.3,55.4,25.9,55.4
107,174.6,95.4,57.6,30.2,83.7
